TEAM,ADJOE_2025,ADJDE_2025,BARTHAG_2025,EFG_O_2025,EFG_D_2025,TOR_2025,TORD_2025,ORB_2025,DRB_2025,FTR_2025,FTRD_2025,2P_O_2025,2P_D_2025,3P_O_2025,3P_D_2025,SEED_2025
Florida Gulf Coast,107.539,108.183,0.483,53.9,50.5,16.2,14.3,30.0,26.5,23.1,29.5,54.1,48.9,35.7,35.1,
Florida St.,107.923,100.542,0.693,50.7,48.5,17.4,19.1,29.7,31.8,39.4,37.5,52.3,48.9,31.7,32.0,
Fordham,106.316,111.179,0.374,48.6,52.8,18.4,16.7,31.5,30.6,32.8,39.2,49.1,52.6,32.0,35.5,
Fresno St.,100.593,108.55,0.294,46.1,54.0,17.7,18.0,27.0,34.0,36.4,23.5,45.6,56.0,31.3,34.2,
Furman,109.419,107.287,0.556,53.6,49.2,17.0,16.5,30.0,31.0,35.4,29.0,53.2,49.2,36.0,32.9,
Gardner Webb,102.442,110.84,0.288,51.9,52.0,20.8,14.8,33.4,30.2,36.2,37.2,53.1,54.2,33.0,32.3,
George Mason,105.717,95.328,0.767,51.5,45.0,20.0,18.9,32.1,29.1,41.7,31.5,50.7,44.6,35.3,30.3,
George Washington,107.652,102.934,0.626,50.6,48.4,18.2,19.4,32.1,32.7,40.8,26.7,53.2,49.0,31.3,31.6,
Georgetown,107.167,100.021,0.689,50.4,49.4,17.1,19.6,31.6,28.9,25.8,29.3,52.1,48.5,31.8,33.8,
Georgia,116.061,95.907,0.9,52.5,47.2,18.8,18.0,36.1,31.8,39.8,30.4,53.8,47.8,33.5,30.9,9.0
Georgia Southern,103.158,109.499,0.335,50.6,50.1,19.0,18.4,33.0,33.0,26.5,43.1,49.8,51.2,34.5,32.3,
Georgia St.,107.406,113.825,0.339,50.4,51.0,16.9,12.9,32.4,31.9,33.8,26.2,49.8,51.8,34.4,33.2,
Georgia Tech,107.034,100.562,0.672,50.2,49.3,17.4,15.8,30.3,28.6,30.7,28.1,49.5,46.9,34.3,35.1,
Gonzaga,123.363,96.488,0.944,55.7,47.5,13.2,18.2,32.7,26.4,30.9,28.6,57.8,49.1,34.4,30.2,8.0
Grambling St.,95.409,108.729,0.182,47.3,49.3,19.2,18.3,26.3,31.1,35.1,31.3,46.9,47.0,32.0,35.7,
Grand Canyon,108.583,99.614,0.729,51.2,47.0,18.4,20.6,32.5,28.6,43.9,32.2,53.2,46.4,31.6,32.1,13.0
Green Bay,100.546,115.849,0.164,50.9,54.8,18.0,14.6,18.4,32.0,37.0,35.4,52.2,54.1,32.9,37.3,
Hampton,103.409,107.087,0.401,47.5,52.6,16.0,18.8,34.0,28.7,30.3,43.6,46.9,53.3,32.4,34.2,
Harvard,102.066,107.878,0.346,50.6,52.2,18.0,17.7,25.0,31.1,24.4,24.6,52.2,53.4,32.0,33.5,
Hawaii,101.981,107.663,0.349,50.6,49.5,20.7,13.1,31.0,24.9,39.9,33.7,53.1,48.0,31.0,35.0,
High Point,117.823,108.178,0.728,56.4,49.1,15.3,16.5,34.0,29.9,37.6,36.3,57.4,48.9,36.6,32.9,13.0
Hofstra,97.896,102.621,0.368,48.9,45.9,17.6,16.4,25.8,28.6,25.3,38.0,48.1,42.6,33.2,33.9,
Holy Cross,100.776,115.91,0.167,53.1,53.5,17.9,13.6,23.3,27.0,22.2,25.4,49.6,54.5,38.6,34.5,
Houston,124.776,88.105,0.982,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,49.0,43.9,39.8,30.9,1.0
Houston Christian,100.447,108.674,0.288,49.1,52.6,18.0,17.9,26.0,32.0,30.5,29.4,49.3,54.5,32.5,32.3,
Howard,103.167,115.672,0.212,53.5,52.3,21.2,16.5,29.0,33.8,35.7,40.9,52.6,53.1,36.6,33.8,
Idaho,107.906,115.356,0.317,51.8,54.0,17.9,15.1,28.9,31.3,33.6,35.7,51.5,55.1,34.7,34.9,
Idaho St.,105.855,109.908,0.394,47.8,54.1,16.3,17.9,38.3,25.9,34.4,32.7,48.3,53.0,31.2,37.3,
Illinois,122.306,98.647,0.922,52.3,47.3,15.8,12.7,36.0,26.3,34.6,26.8,57.3,46.1,31.1,33.3,6.0
Illinois Chicago,105.457,107.99,0.432,51.1,51.6,17.5,15.8,30.0,27.9,35.1,31.6,51.1,51.6,34.0,34.4,
Illinois St.,112.105,108.888,0.583,56.0,53.8,15.8,16.7,24.6,24.9,30.7,31.4,56.6,53.5,36.9,36.1,
Incarnate Word,105.292,111.836,0.333,51.1,52.0,18.1,17.5,34.5,31.4,27.5,34.7,49.7,50.8,35.8,36.4,
Indiana,112.511,97.932,0.831,51.1,49.8,16.7,16.4,31.5,28.1,33.1,29.6,52.6,50.3,32.1,32.7,
Indiana St.,108.464,112.18,0.404,54.6,54.3,19.5,15.8,26.2,27.0,35.9,38.8,56.6,54.5,35.0,35.9,
Iona,99.497,105.518,0.337,47.5,51.7,20.9,22.8,39.1,30.9,27.9,35.6,47.5,53.9,31.8,32.6,
Iowa,119.49,106.668,0.787,56.8,54.4,13.7,17.9,25.1,32.2,26.0,28.3,56.6,56.2,38.0,34.4,
Iowa St.,118.966,92.488,0.948,54.6,48.4,16.9,21.8,32.2,28.4,38.5,28.9,55.1,47.5,35.8,33.2,3.0
IU Indy,109.124,123.555,0.193,50.4,57.0,15.7,16.0,30.6,33.6,34.1,35.1,46.2,57.8,36.8,37.3,
Jackson St.,100.319,107.63,0.308,47.7,50.6,19.5,17.4,30.1,30.0,37.5,30.6,47.1,50.3,32.6,34.1,
Jacksonville,101.355,103.674,0.435,50.1,50.7,19.3,18.7,35.3,30.5,28.2,34.5,47.3,50.0,37.0,34.6,
Jacksonville St.,108.989,104.569,0.617,50.0,49.3,15.9,13.3,30.9,26.3,31.6,27.6,49.2,47.3,34.3,34.6,
James Madison,110.299,109.938,0.509,50.7,50.9,15.8,15.6,32.0,30.5,30.4,33.4,50.0,49.6,34.3,35.5,
Kansas,116.17,93.181,0.927,53.1,46.2,16.7,15.6,30.4,27.5,24.3,28.0,53.4,46.1,35.2,30.9,7.0
Kansas St.,109.73,96.01,0.823,50.6,49.0,17.7,18.1,29.4,31.7,27.6,28.6,51.8,49.9,32.5,31.5,
Kennesaw St.,107.374,103.334,0.609,49.3,48.3,19.7,15.1,32.5,27.4,38.8,42.6,52.2,48.1,30.6,32.5,
Kent St.,105.922,101.421,0.622,49.0,48.1,17.5,18.7,35.6,27.8,29.9,38.6,50.5,49.0,31.0,31.3,
Kentucky,123.908,98.756,0.931,56.0,50.4,15.2,14.0,28.7,25.9,35.9,31.0,55.9,53.7,37.4,30.8,3.0
La Salle,103.241,107.472,0.387,46.1,52.6,15.5,16.7,30.5,29.5,31.4,30.0,44.5,54.5,32.8,33.2,
Lafayette,97.753,108.73,0.227,50.2,50.4,16.6,16.7,24.0,28.0,30.5,26.9,49.7,48.3,34.0,35.8,
Lamar,101.351,102.326,0.473,47.2,47.6,19.0,17.7,35.5,31.8,29.0,34.8,44.3,47.9,35.6,31.4,
Le Moyne,102.767,122.266,0.119,51.5,54.7,19.6,16.3,25.7,32.9,37.7,36.9,53.2,54.1,32.8,37.0,
Lehigh,99.674,111.463,0.217,51.1,50.7,15.6,16.1,21.4,29.1,31.5,33.9,49.1,53.0,36.4,31.2,
Liberty,113.127,98.14,0.837,58.4,45.9,15.3,16.9,18.9,28.0,30.9,26.3,57.7,48.0,39.5,28.0,12.0
Lindenwood,94.646,107.673,0.185,45.0,50.7,17.9,19.4,30.0,31.5,36.0,34.7,47.6,50.0,26.7,34.6,
Lipscomb,110.863,104.084,0.674,55.9,48.6,14.4,15.9,24.0,26.5,31.4,22.3,56.7,49.9,36.7,31.0,14.0
Little Rock,98.169,104.964,0.317,49.5,46.7,20.4,21.5,30.4,35.4,29.0,37.9,47.2,46.3,36.6,31.4,
LIU,94.956,104.029,0.259,47.7,48.0,20.1,19.2,32.3,27.0,27.6,43.5,48.8,48.8,30.3,31.2,
Long Beach St.,100.59,113.94,0.193,49.2,53.4,21.7,17.1,28.5,34.9,35.5,35.2,47.0,51.2,35.3,38.1,
Longwood,105.043,110.344,0.362,51.3,55.9,18.0,20.7,32.1,29.6,45.4,38.3,52.3,59.8,32.9,33.7,
Louisiana,97.683,109.536,0.211,45.7,51.3,16.0,19.1,25.9,35.5,29.8,43.8,45.0,53.8,31.3,31.5,
Louisiana Monroe,96.703,114.348,0.127,45.0,53.6,17.1,16.1,29.0,32.5,31.1,25.1,43.1,55.8,32.5,34.0,
Louisiana Tech,107.945,104.906,0.581,52.5,47.8,18.9,14.7,29.3,28.7,35.0,32.0,53.5,48.8,34.1,30.8,
Louisville,118.446,94.753,0.929,53.4,49.2,16.5,18.6,32.2,27.2,34.5,26.8,57.0,48.3,33.0,33.7,8.0
Loyola Chicago,107.65,101.262,0.669,52.6,49.0,17.6,17.9,29.9,27.5,31.7,33.2,53.0,48.3,34.7,33.3,
Loyola Marymount,104.266,103.279,0.527,50.2,48.5,15.2,15.7,22.8,30.9,29.0,28.9,50.6,49.0,33.1,31.8,
Loyola MD,99.848,112.729,0.199,50.1,52.8,17.7,16.9,28.6,27.9,29.3,30.2,50.7,52.9,32.9,35.1,
LSU,108.601,99.684,0.728,51.1,48.3,18.6,16.5,29.5,34.3,32.5,29.5,55.2,48.2,30.5,32.3,
Maine,99.09,104.292,0.357,51.6,50.4,15.5,21.9,21.8,32.3,28.2,29.0,50.6,50.7,35.7,33.3,
Manhattan,107.278,115.221,0.305,50.7,50.5,17.0,15.2,32.6,31.9,31.0,25.9,50.3,51.8,34.2,32.5,
Marist,96.646,106.389,0.249,49.9,46.9,18.4,16.4,30.6,25.6,22.4,33.2,51.5,44.9,31.4,33.7,
Marquette,116.73,96.676,0.897,52.0,49.9,13.5,21.5,30.1,31.0,26.1,30.2,54.9,51.3,32.5,31.8,7.0
Marshall,105.87,106.501,0.483,49.9,49.3,16.5,16.8,33.0,29.6,34.8,40.9,51.0,49.7,32.3,32.2,
Maryland,117.896,92.13,0.945,53.8,47.0,14.5,20.2,31.0,27.2,32.9,25.9,52.7,47.6,37.2,30.7,4.0
Maryland Eastern Shore,94.995,118.841,0.071,45.7,55.3,19.7,15.5,27.1,34.1,35.6,40.6,44.7,58.6,31.5,33.3,
Massachusetts,101.573,105.964,0.381,45.1,49.8,16.1,17.5,34.3,31.0,34.0,36.6,46.6,49.7,28.0,33.2,
McNeese St.,113.54,100.788,0.797,53.3,47.5,16.2,21.6,34.7,31.3,35.7,31.4,53.2,46.9,35.6,32.2,12.0
Memphis,111.76,98.734,0.806,53.6,48.5,19.2,19.1,35.1,32.3,39.4,33.6,52.0,48.6,38.0,32.2,5.0
Mercer,98.395,107.431,0.267,48.9,50.8,16.6,16.8,28.8,28.7,29.8,32.8,49.8,49.7,31.8,34.7,
Mercyhurst,100.135,115.879,0.157,48.6,55.0,16.4,20.3,22.2,33.3,30.9,38.3,45.8,56.0,35.7,35.7,
Merrimack,98.44,101.347,0.417,49.4,46.9,13.8,23.2,20.8,38.6,24.4,29.9,49.3,47.2,33.0,31.0,
Miami FL,112.664,114.625,0.451,51.9,57.4,16.0,15.0,28.2,30.8,26.4,28.8,55.1,55.9,31.3,39.7,
Miami OH,108.052,106.376,0.545,55.4,51.3,17.4,19.1,27.5,29.0,28.1,33.3,53.9,51.9,38.2,33.6,
Michigan,115.174,94.52,0.907,54.5,46.3,19.8,16.0,33.2,29.8,35.0,28.5,57.7,45.9,33.4,31.3,5.0
Michigan St.,116.923,91.95,0.941,51.2,46.1,16.6,16.4,35.3,24.6,37.8,33.1,53.6,49.1,30.8,27.9,2.0
Middle Tennessee,108.711,103.941,0.626,50.9,48.9,16.6,16.0,30.7,28.7,32.4,31.2,53.3,49.8,31.5,31.5,
Milwaukee,106.18,106.372,0.495,51.4,51.5,19.4,18.3,39.8,26.6,38.0,32.4,53.1,52.2,31.9,33.6,
Minnesota,109.955,101.608,0.713,49.9,50.1,16.6,16.3,30.2,30.6,31.5,33.0,50.7,49.2,32.2,34.5,
Mississippi,117.488,97.087,0.9,51.1,50.5,12.8,20.5,25.4,30.8,35.6,39.5,51.0,51.6,34.1,32.7,6.0
Mississippi St.,118.432,98.876,0.888,51.7,51.9,15.1,19.0,34.1,29.5,31.6,35.4,55.2,50.1,31.4,36.1,8.0
Mississippi Valley St.,82.921,125.303,0.009,42.1,57.9,24.3,15.0,22.7,38.0,30.3,38.4,41.6,58.8,28.8,37.7,
Missouri,127.109,100.941,0.934,56.2,50.7,15.2,20.0,33.7,32.2,46.8,35.3,56.7,51.1,37.0,33.4,6.0
Missouri St.,101.856,105.661,0.396,50.9,54.7,20.7,19.1,32.0,28.4,34.3,38.5,49.1,55.0,36.0,36.1,
Monmouth,103.937,111.784,0.302,47.2,50.7,16.2,16.6,29.8,34.8,36.7,36.1,44.2,50.7,35.2,33.8,
Montana,112.042,109.132,0.575,56.4,52.2,16.2,15.5,22.6,29.0,36.2,31.9,57.3,53.1,36.5,33.7,14.0
Montana St.,104.753,106.852,0.443,52.8,48.8,15.1,15.3,20.7,29.4,31.9,31.9,53.8,50.6,34.3,29.8,
Morehead St.,98.143,111.763,0.183,45.9,50.3,18.4,14.4,31.2,25.4,37.6,34.7,45.5,49.9,31.2,34.1,
Morgan St.,100.542,117.014,0.149,49.0,52.4,17.9,17.0,34.1,36.9,35.7,39.1,49.5,51.0,31.6,36.8,
Mount St. Mary's,99.543,107.549,0.291,51.0,48.0,21.7,15.9,31.1,28.3,31.0,26.7,50.1,48.7,34.9,31.4,
Murray St.,104.832,104.904,0.498,49.3,51.2,16.9,17.3,29.1,26.4,41.2,35.5,48.6,52.6,33.6,32.1,
N.C. State,107.828,102.747,0.635,48.3,51.0,14.4,18.6,28.8,32.5,32.3,32.2,48.3,50.8,32.2,34.3,
Navy,101.135,111.614,0.243,48.0,52.5,16.1,17.8,31.3,27.2,33.8,33.8,46.8,52.6,33.3,34.9,
Nebraska,111.907,99.371,0.797,51.5,50.9,16.2,17.6,26.8,28.8,36.0,27.0,53.3,50.6,32.5,34.1,
Nebraska Omaha,112.213,108.554,0.594,53.5,53.1,15.7,14.9,29.2,25.4,36.4,37.7,52.5,53.5,36.7,35.1,15.0
Nevada,111.985,104.12,0.698,53.7,51.3,15.5,18.7,27.4,26.5,37.3,37.9,55.3,49.5,34.1,35.7,
New Hampshire,93.946,115.172,0.088,47.1,54.4,19.0,16.9,27.4,31.6,26.4,33.0,46.8,56.4,31.7,34.1,
New Mexico,111.57,95.258,0.86,50.8,49.2,15.6,20.5,31.5,25.6,37.8,35.0,50.6,48.2,34.1,33.8,10.0
New Mexico St.,104.917,98.971,0.662,46.2,46.9,15.6,15.0,32.5,27.7,34.5,39.2,46.1,48.8,30.9,29.5,
New Orleans,98.955,117.98,0.117,45.9,54.9,18.8,16.1,31.6,35.5,33.9,26.6,46.0,55.1,30.4,36.4,
Niagara,100.754,115.439,0.173,52.0,53.0,18.6,16.8,23.6,27.3,30.4,29.8,51.8,51.8,34.9,36.7,
Nicholls St.,105.555,106.248,0.481,48.1,48.1,15.3,16.7,30.6,31.5,33.1,35.9,45.6,49.9,35.0,30.1,
NJIT,94.132,113.667,0.103,45.3,50.0,18.0,13.8,27.7,31.8,27.4,38.6,45.0,51.9,30.5,31.0,
Norfolk St.,106.339,109.093,0.427,52.4,49.7,18.3,18.6,32.8,33.8,39.0,34.9,54.5,48.9,31.3,33.9,16.0
North Alabama,112.129,106.738,0.638,51.7,50.5,12.5,16.8,33.5,29.0,30.8,27.6,51.5,51.7,34.8,32.6,
North Carolina,120.121,99.742,0.895,54.5,49.5,15.1,15.2,29.3,27.0,35.0,30.2,54.7,49.2,36.0,33.3,11.0
North Carolina A&T,96.561,112.624,0.146,45.8,51.5,15.4,15.3,27.0,31.4,31.2,30.0,46.3,52.4,30.0,33.3,
North Carolina Central,102.545,116.776,0.183,50.1,54.8,19.2,21.0,34.6,38.8,39.8,42.0,49.9,57.6,33.7,32.7,
North Dakota,107.922,114.448,0.337,49.7,56.5,16.6,15.0,33.7,28.7,33.6,33.0,50.3,57.1,32.5,37.1,
North Dakota St.,115.592,111.276,0.608,58.2,51.4,15.6,11.1,26.2,29.0,32.6,27.1,56.5,51.3,39.8,34.3,
North Florida,108.054,116.836,0.289,53.2,54.1,15.0,14.7,27.9,34.2,24.8,31.1,54.0,54.5,35.0,35.5,
North Texas,109.302,98.742,0.763,51.6,46.8,17.0,19.5,33.1,27.7,36.6,39.5,50.5,47.6,35.7,30.3,
Northeastern,104.01,107.018,0.419,51.1,50.3,18.6,18.2,31.4,31.4,28.0,30.3,51.3,49.2,33.7,34.9,
Northern Arizona,103.735,110.387,0.329,50.3,53.3,15.4,14.8,31.5,23.8,29.6,34.3,49.4,52.8,34.5,36.0,
Northern Colorado,111.788,107.013,0.623,57.3,52.1,15.7,15.5,25.2,22.2,33.4,35.4,58.9,51.8,36.5,35.2,
Northern Illinois,94.248,112.091,0.12,47.1,53.2,16.3,16.6,17.8,30.8,31.6,44.0,45.3,51.0,32.7,38.0,
Northern Iowa,108.678,103.774,0.63,55.5,51.5,15.9,17.4,25.6,25.2,35.2,28.3,55.3,49.9,37.2,36.0,
Northern Kentucky,102.727,109.488,0.325,49.8,52.5,17.3,19.9,31.0,32.5,31.3,29.3,50.0,50.6,33.0,37.0,
Northwestern,113.277,98.229,0.837,49.8,49.9,14.9,19.8,31.2,30.1,31.3,36.6,49.7,49.4,33.3,33.8,
Northwestern St.,102.158,107.019,0.369,48.7,49.8,20.2,17.4,33.1,32.6,32.2,33.1,46.5,46.8,35.2,36.2,
Notre Dame,110.616,103.682,0.678,51.7,51.4,16.5,14.9,29.6,26.0,31.8,30.0,50.8,53.6,35.5,32.1,
Oakland,106.381,108.982,0.431,50.1,51.4,18.0,16.2,34.1,32.6,31.7,27.8,53.2,49.7,30.6,35.9,
Ohio,106.672,108.345,0.455,53.4,52.3,14.9,17.8,23.9,29.0,33.5,36.4,53.9,50.4,35.0,37.6,
Ohio St.,116.91,99.683,0.862,53.5,48.6,15.6,16.8,28.9,30.5,35.8,39.9,52.6,50.3,36.8,30.5,
Oklahoma,117.723,100.961,0.854,54.9,51.1,17.3,18.1,26.5,31.7,39.6,35.8,54.6,54.9,37.0,30.5,9.0
Oklahoma St.,108.313,100.056,0.713,48.3,53.2,18.8,20.4,31.2,29.6,41.5,35.9,47.9,54.1,32.8,34.7,
Old Dominion,99.608,110.548,0.232,44.1,51.2,16.9,16.0,36.4,32.0,30.9,35.0,45.0,51.2,28.3,34.1,
Oral Roberts,103.786,115.777,0.221,50.0,55.0,16.3,13.9,22.6,33.1,35.0,38.2,48.5,56.6,34.4,35.0,
Oregon,115.168,97.347,0.874,52.2,49.1,16.2,17.6,30.6,29.2,33.4,27.7,53.0,50.0,34.0,31.7,5.0
Oregon St.,116.054,108.082,0.694,54.6,51.1,16.6,16.6,31.8,27.6,38.9,32.3,54.5,50.4,36.5,34.7,
Pacific,100.807,110.311,0.262,48.1,53.2,19.3,15.4,28.8,28.2,32.8,37.1,50.3,52.9,29.7,35.8,
Penn,103.126,115.803,0.209,49.4,53.0,16.4,13.4,26.8,29.7,28.9,25.8,49.9,50.8,32.6,37.5,
Penn St.,113.668,101.009,0.795,54.1,51.9,17.4,19.8,28.6,29.1,37.9,29.4,55.6,51.3,34.3,35.3,
Pepperdine,106.456,109.658,0.416,49.6,52.5,16.1,15.3,27.7,30.0,31.6,27.2,48.9,53.3,34.0,34.2,
Pittsburgh,114.034,102.745,0.768,52.2,51.1,14.8,18.3,29.0,29.9,34.2,32.8,52.4,50.4,34.6,34.7,
Portland,106.397,113.536,0.322,50.1,54.6,18.0,13.2,23.9,29.9,32.2,22.1,49.8,53.3,33.7,37.8,
Portland St.,100.871,102.826,0.445,50.5,50.0,18.4,19.6,33.4,30.4,34.3,34.9,51.7,51.6,32.0,31.7,
Prairie View A&M,96.014,117.862,0.086,48.2,56.2,16.7,20.0,24.5,39.1,33.8,40.5,48.6,57.6,31.5,35.7,
Presbyterian,103.264,110.547,0.314,51.2,52.5,16.3,17.7,29.6,31.3,31.2,39.2,49.7,52.9,36.0,34.4,
Princeton,103.343,107.225,0.396,51.5,53.4,15.2,17.3,26.2,24.2,24.6,31.7,50.1,53.5,35.3,35.5,
Providence,111.167,105.126,0.655,52.1,49.5,19.0,13.8,33.2,28.7,29.6,32.8,51.1,49.0,35.6,33.5,
Purdue,125.114,100.179,0.928,56.3,52.0,15.6,17.8,31.0,29.9,34.6,31.0,55.5,56.4,38.5,30.7,4.0
Purdue Fort Wayne,107.578,108.896,0.465,54.7,53.3,13.8,20.1,22.0,32.8,29.1,30.0,54.0,56.2,37.1,32.6,
Queens,106.046,108.552,0.433,52.3,51.7,18.0,16.0,31.1,28.7,33.7,32.1,52.6,51.4,34.6,34.8,
Quinnipiac,101.909,106.0,0.389,48.4,49.5,17.9,17.1,33.5,26.0,31.1,28.3,50.7,46.7,29.8,36.1,
Radford,109.872,109.387,0.513,51.1,51.0,17.7,16.5,33.8,30.0,41.3,37.0,49.9,49.3,35.6,35.8,
Rhode Island,107.607,107.949,0.491,52.8,49.3,17.9,16.0,28.3,28.6,41.1,30.8,53.3,50.6,34.6,31.5,
Rice,106.46,107.951,0.46,48.6,47.8,17.8,14.0,33.7,29.6,43.3,35.9,47.8,47.5,33.2,32.1,
Richmond,103.548,108.622,0.366,48.4,52.7,15.4,15.8,19.3,27.7,29.7,37.1,49.7,52.4,31.2,35.4,
Rider,101.916,114.866,0.202,47.7,53.1,17.2,16.0,32.2,30.7,29.6,27.3,48.1,52.8,31.2,35.7,
Robert Morris,106.012,105.073,0.526,51.3,50.3,18.5,18.8,35.3,28.3,38.4,30.0,50.7,49.8,34.9,34.2,15.0
Rutgers,115.802,103.907,0.777,50.6,52.8,15.4,17.4,30.8,32.2,36.2,30.5,51.3,52.9,32.9,35.1,
Sacramento St.,95.459,113.781,0.117,48.0,55.1,20.3,17.1,27.4,27.6,31.3,39.2,49.1,55.2,31.2,36.6,
Sacred Heart,105.075,111.795,0.329,51.0,51.8,17.7,17.6,31.4,29.9,26.3,27.6,50.3,50.8,34.5,35.4,
Saint Francis,100.035,111.958,0.215,51.8,51.2,19.7,16.2,25.0,29.9,24.0,27.8,52.6,53.3,33.8,32.2,
Saint Joseph's,110.638,101.325,0.733,52.1,47.1,16.6,16.1,30.4,27.4,32.3,25.9,53.1,45.5,34.0,33.5,
Saint Louis,108.856,104.692,0.61,56.3,49.2,18.6,14.3,23.4,28.0,30.0,24.0,59.9,48.3,35.1,33.7,
Saint Mary's,115.033,92.889,0.921,50.9,46.2,15.1,16.6,40.5,24.9,31.4,25.0,51.8,45.8,32.6,31.2,7.0
Saint Peter's,94.989,105.636,0.228,44.7,47.3,20.7,17.6,37.0,31.0,34.7,37.6,42.4,47.0,32.2,31.9,
Sam Houston St.,110.597,109.889,0.518,51.0,53.1,18.3,17.2,30.3,32.2,36.3,33.2,46.9,52.3,38.3,36.2,
Samford,110.587,108.093,0.565,54.6,53.2,18.3,21.8,34.6,33.5,29.3,41.8,54.0,53.8,36.9,35.0,
San Diego,100.145,111.14,0.232,45.7,54.0,18.4,18.5,29.9,31.6,30.5,46.1,46.3,51.6,29.7,38.5,
San Diego St.,108.592,95.699,0.811,50.5,45.9,16.8,19.5,29.2,31.0,32.3,37.4,51.5,45.1,32.6,31.2,
San Francisco,111.022,98.187,0.804,53.0,48.7,17.0,18.2,29.0,28.1,35.0,35.9,54.7,52.1,34.0,28.3,
San Jose St.,106.672,106.39,0.508,50.6,51.9,17.4,16.6,26.9,32.2,31.5,28.6,49.1,53.9,35.1,32.0,
Santa Clara,116.56,99.747,0.857,56.1,49.4,16.8,17.0,32.7,26.9,28.7,31.1,54.8,51.5,38.3,30.8,
Seattle,103.126,101.049,0.558,46.5,51.2,17.0,20.9,29.9,27.0,42.3,36.7,46.3,53.3,31.3,31.9,
